,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
269,2681210,Azul Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,0,Marca da peça utilizada,Coloque meu carro na oficina que vcs indicará na França sendo correto pediu para envia para estéticas referência da seguradora vc arruma oficinal fundo de quital meu carro ficou duas semanas na oficina fez serviço porco meu carro fui lá três vez informei que serviço tinha ficado péssimo cara foi pintou meu carro com tinta divergente sendo que era simples martelinho meu carro sai todo pulverizador de tinta falei com meu correto ele me indicou estéticas para resolver meu problema meu carro está todo mal feito o serviço que garantia do serviço porque foi vcs que me envio para para essa oficina  ,Comercial/Produtos,Detrator
270,2669489,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,5,Marca da peça utilizada,"A qualidade da pintura não ficou boa!
Estarei retornando a empresa para refazer o serviç",Comercial/Produtos,Detrator
271,2669075,Ezze Seguros,Parabrisa,Carglass,5,Demora/Divergência de informações no momento do atendimento,"Em contato com Alex, informou que teve um desentendimento, por que foi encaminhado a mensagem com o agendamento e quando chegou na oficina não estava agendado, precisou retornar no dia seguinte. ",Liberação,Detrator
272,2647853,Reparo Rápido Chevrolet,Funilaria Porta Dianteira Direita,GM,5,Atraso na liberação do serviço na loja,O carro ficou dois dias sem necessidade pois o serviço de polimento é algo rápido. Já que o serviço foi agendado teria que sair no mesmo dia que o veículo entrou pois não se tratava de pintura que é um serviço mais demorado ,Rede de prestadores,Detrator
273,2662723,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,3,Marca da peça utilizada,"Bom dia,infelizmente,  o produto que me foi entregue está destoando da cor original do  carro. Marcarei uma visita para reparar esse problema. Ó",Comercial/Produtos,Detrator
275,2652707,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,2,Falta de contato/ Falha No Acompanhamento com o cliente,A empresa disse que tava autorizado e não tava. Mandou eu ir no local que não tava mais associado ao seguro.,Liberação,Detrator
276,2653134,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,0,Falta de contato/ Falha No Acompanhamento com o cliente,Até hoje aguardo contato da Car-enrolada..,Liberação,Detrator
279,2731484,Seguros Sura,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,Fico muito feliz por ser realizado esse serviço..,Qualidade do atendimento,Neutro
280,2587131,Bradesco Seguros,Parabrisa,Carglass,7,A experiência com atendimento e serviço prestado agradou o cliente,Deu tudo certo,Qualidade do atendimento,Neutro
281,2587187,Bradesco Seguros,Reparo (1 Ponto),Carglass,7,Demora para agendamento,Tive que ligar algumas vezes até conseguir agendar o serviço. ,Liberação,Neutro
283,2720929,Seguros Sura,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Amauri, ele informou que não tem o que reclamar, no geral nunca teve problema.",Qualidade do atendimento,Neutro
284,2595433,ALD Automotive,Parabrisa,Carglass,7,Agenda não atende a necessidade do cliente,Foi boa graças ao prestador de serviço. O formato de agendamento e os locais para fazer a troca não são favoráveis.,Liberação,Neutro
287,2600727,Bradesco Seguros,Parabrisa,Carglass,7,Demora/Dificuldade com a central de atendimento,Tive baste dificuldade pra fazer o agendamento.,Abertura do atendimento,Neutro
289,2708589,PSA,Funilaria Capô,Carglass,7,Qualidade ou problemas/dificuldade com site para abertura do atendimento,"O site só oferecia 3 datas de atendimento, e quando tentei agendar para a semana seguinte, deu erro e não ofereceu nenhum caminho",Abertura do atendimento,Neutro
290,2605708,Seguros Sura,Lanterna Traseira Esquerda/Motorista,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"O cliente Adriano gostou do atendimento rápido, correu tudo certo.",Qualidade do atendimento,Neutro
291,2605754,ALD Comfort,Parabrisa,Carglass,8,Postura inadequada durante atendimento ,O cliente Leandro achou a atendente que fez a abertura da OS um pouco grossa.,Qualidade do atendimento,Neutro
292,2606190,Seguros Sura,Parabrisa,Carglass,8,Agenda não atende a necessidade do cliente,"O responsável Haroldo informa que foi realizado um agendamento pela Sura, mas quando chegou para fazer o serviço, a loja não os atendeu.
",Liberação,Neutro
295,2608066,Bradesco Seguros,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,7,Demora/Dificuldade com a central de atendimento,"Ligações interrompidas, outra informou que o sistema estava fora do ar que iria retomar, mas não aconteceu ",Abertura do atendimento,Neutro
296,2608842,Porto Seguro,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,Trabalho bem feito e a eficiência do serviço ,Qualidade do atendimento,Neutro
297,2609796,Ezze Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,8,Demora/Divergência de informações no momento do atendimento,"cliente informa que nao houve transparência nas informações, pois nao foi falado que a peça quebrada nao poderia ficar com ele.",Liberação,Neutro
298,2611645,CarBank,Funilaria Tampa traseira,Carglass,7,A experiência com atendimento e serviço prestado agradou o cliente,Fiquei desapontado não cobriu o serviço do para-choque só porque rasgou um pouco menos de 50 cm ,Qualidade do atendimento,Neutro
299,2613316,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,8,Falta de contato/ Falha No Acompanhamento com o cliente,"O cliente Bruno acho que houve muita demora para informar que o serviço estava aprovado, não recebeu mensagem, nem email.",Liberação,Neutro
300,2697796,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento ótimo ,Qualidade do atendimento,Neutro
302,2616616,Azul Seguros,Porta Dianteira Direita/Passageiro,Carglass,7,Cliente não gostou da loja direcionada,"O cliente Gilson teve muito trabalho para conseguir o serviço, os atendentes são muito bons, mas não gostou das lojas direcionadas, solicitou a troca, mas disseram que não podia trocar e depois, quando o veículo já estava na loja, recebeu uma mensagem informado a troca para outra loja. Não está satisfeito com os procedimentos da Carglass.",Rede de prestadores,Neutro
304,2617999,Seguros Sura,Lanterna Traseira Direita/Passageiro,Carglass,8,Atraso na liberação do atendimento,cliente informa que teve um demora para liberação do serviço. ,Liberação,Neutro
306,2622525,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,Falar com a empresa pelo telefone  é bastante ,Qualidade do atendimento,Neutro
309,2631022,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,8,Demora/Divergência de informações no momento do atendimento,"A cliente Rosângela achou o atendimento complicado, não foi rápido e simples, foi transferida e teve que ligar de novo, disseram que não tinha loja em sua cidade e foi enviada para uma cidade a 200Km, mas a cliente foi na loja que conhecia e sabia que atendia a Carglass, e apenas lá conseguiu que o atendimento fosse direcionado para essa loja.",Liberação,Neutro
310,2637441,ALD Automotive,Parabrisa,Carglass,8,Falta de contato/ Falha No Acompanhamento com o cliente,"A cliente Rafaela informa que o retorno foi muito lento, o pessoal da ALD teve um retorno que não foi repassado para ela e isso foi se proliferando.",Liberação,Neutro
311,2638409,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,Gostei de tudo ,Qualidade do atendimento,Neutro
314,2675204,Seguros Sura,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Caique, informou que o atendimento foi rápido, mais pode melhorar com a disponibilidade de mais prestadores. ",Qualidade do atendimento,Neutro
316,2645336,Ezze Seguros,Lanterna Traseira Direita/Passageiro Led,Carglass,8,Demora/ Dificuldade de contato com a central de atendimento,O cliente Marcos teve dificuldades de falar com a Carglass pelo telefone.,Abertura do atendimento,Neutro
317,2667865,Porto Seguro,Funilaria Porta Traseira Esquerda,Carglass,8,Demora para agendamento,Além disso os locais para realização dos serviços são distantes ,Liberação,Neutro
318,2666747,Seguros Sura,Retrovisor Direito/Passageiro,Carglass,8,Demora/Atraso para disponibilizar a peça,cliente informa que a peça demorou pra chegar e quando chegou veio com defeito. ,Peça,Neutro
319,2666740,Seguros Sura,Farol Direito/Passageiro,Carglass,8,Demora/Atraso para disponibilizar a peça,cliente informa que a peça demorou pra chegar e quando chegou veio com defeito. ,Peça,Neutro
320,2647625,Porto Seguro,Funilaria Tampa traseira,Carglass,7,Problemas/Dificuldade com links de atendimento,Dificuldade de entendimento e manuseio com o link de atendimento.,Mensageria,Neutro
321,2665751,Ezze Seguros,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"cliente ressalta rapidez, boa empresa, tem boas lojas credenciadas. ",Qualidade do atendimento,Neutro
323,2650646,Arval,Parabrisa,Carglass,8,Demora/ Dificuldade de contato com a central de atendimento,O cliente Robson teve dificuldades para entrar em contato por telefone.,Abertura do atendimento,Neutro
324,2660749,Ezze Seguros,Parabrisa,Carglass,7,Marca da peça utilizada,Produto com péssima qualidade quebra com muita facilidade pela segunda vez,Comercial/Produtos,Neutro
327,2738586,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente informou que, foi bem atendido. ",Qualidade do atendimento,Promotor
330,2585203,Bradesco Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"A cliente Ana recebeu atenção, a loja foi indicada direitinho.",Qualidade do atendimento,Promotor
331,2585284,Ezze Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Rodrigo foi atendido com muita facilidade.,Qualidade do atendimento,Promotor
333,2585882,Bradesco Seguros,Funilaria Capô,Carglass,9,Qualidade do atendimento em geral,O cliente Joelder foi bem atendido.,Qualidade do atendimento,Promotor
335,2586005,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"A cliente Bartira gostou da agilidade, a experiência foi boa.",Qualidade do atendimento,Promotor
336,2586027,Assistia Plano Auto,Funilaria Porta Dianteira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Gostei muito da oficina ,Qualidade do atendimento,Promotor
340,2587050,HelpS - Santander,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,O cliente Renato gostou do atendimento.,Qualidade do atendimento,Promotor
344,2727739,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Antendimento rápido, liberação bem tranquila. Serviço bem executado.",Qualidade do atendimento,Promotor
345,2727377,Seguros Sura,Parabrisa,Carglass,9,Qualidade do atendimento – telefonia e agendamento,Prática e rápida ,Liberação,Promotor
346,2588950,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que sempre resolve o problema. ,Qualidade do atendimento,Promotor
348,2589251,Porto Seguro,Porta Dianteira Direita/Passageiro,Carglass,9,Qualidade do atendimento em geral,"O cliente Rogério foi bem atendido, mas demorou um pouco a resposta do atendimento.",Qualidade do atendimento,Promotor
349,2589266,Bradesco Seguros,Funilaria Para-Choque Traseiro Direito/Passageiro,Carglass,9,Qualidade do atendimento em geral,"Minha experiência foi boa. Tanto em ligações como pessoalmente. 
Entrgou o.carro na data prevista. ",Qualidade do atendimento,Promotor
352,2725160,Arval,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Osanilton, informou que deu tudo certo . ",Qualidade do atendimento,Promotor
353,2590170,Seguros Sura,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que foi tranquilo. ,Qualidade do atendimento,Promotor
357,2591172,Ezze Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Qualidade do atendimento em geral,Serviço rápido e pessoas atenciosas..,Qualidade do atendimento,Promotor
358,2723252,Seguros Sura,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com o cliente informou que ,foi bem atendido.
",Qualidade do atendimento,Promotor
360,2591553,Bradesco Seguros,Funilaria Porta Dianteira Direita,Carglass,10,Rapidez no atendimento e serviço prestado,Excelente trabalho prestado tanto pela empresa quanto pela oficina mecânica ,Qualidade do atendimento,Promotor
362,2592436,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Excelente serviço prestado com atenção ao cliente em todos os setores da loja,Qualidade do atendimento,Promotor
363,2592634,Porto Seguro,Funilaria Capô,Carglass,10,Rapidez no atendimento e serviço prestado,"O serviço ficou muito bem feito, estou muito satisfeito ",Qualidade do atendimento,Promotor
364,2592672,Azul Seguros,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Excelente atendimento ,Qualidade do atendimento,Promotor
367,2720435,Bradesco Seguros,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,"Fui muito bem atendida, desde o início ate a conclusão. ",Qualidade do atendimento,Promotor
373,2719673,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Rápido
",Qualidade do atendimento,Promotor
374,2719209,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Ney, ele informou que foi bem atendido e resolvido na dia ",Qualidade do atendimento,Promotor
375,2719069,Bradesco Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,9,Qualidade do atendimento – telefonia e agendamento,Gostei do atendimento ,Liberação,Promotor
376,2718757,Bradesco Seguros,Funilaria Teto,Carglass,10,Rapidez no atendimento e serviço prestado,"Foi excelente, sem burocracia! ",Qualidade do atendimento,Promotor
377,2594539,Arval,Parabrisa,Carglass,9,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com o cliente, informou que foi rápido, e pratico. Teve um erro na troca da loja porém ao comunicar a Carglass também resolveram rápido. ",Qualidade do atendimento,Promotor
